norm_id	document_id	section_id	page	formulation_sha256	page_text_match_status
N-GEN-088	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-088	49	3cbbe2ab6f2f99e453331b24101bc734b209825efc27ef7db62c72e9cfd2c11e	PASS
N-GEN-089	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-089	50	98e765006e093936b737ec99df8fb755db923058c40b45bd2f833aa99a54aaab	PASS
N-GEN-090	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-090	50	0c5601c96ddc1e3208f3ec1c19c95564315c61bd44acaa97a56f3fb1fdbf1c8c	PASS
N-GEN-091	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-091	51	89f735464fd366beb5e93e8aaac9450f2729033a4e6e931ef19837e3136f812a	PASS
N-GEN-092	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-092	51	35d7552cbc7d13e4487300a4cdaba6c3a94ebf6092a21921fc67d00c2daf3ff6	PASS
N-GEN-093	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-093	52	642dc6aee65b303674146499a0674dbc08e6c5994ad4cabf1a8e633262626721	PASS
N-GEN-094	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-094	52	1fe0ab6e3e2ce19cca327e7b329772ff118e07c081e05315c797ed0e786bbc06	PASS
N-GEN-095	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-095	53	6f42626114361404a4914ee4893ee78948f6d317a3978aea8b8d4fc14fcbdcb6	PASS
N-GEN-096	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-096	53	ce0458e4d88cd1fd191d2792875fff7aa01931274caf4f77bfa359eefc80ddb1	PASS
N-GEN-097	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-097	54	9d2ed4ac907d36f85c79789580d8124ba903f7a16e0aa92b4e04ee996c419022	PASS
N-O001-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-01	54	547fa8e508ea47e88e6466c3c0e01c8eb28ce871f4503130d4e2ff78a473fcca	PASS
N-O001-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-02	55	7079c314740ab3f657b02273c40105f871e7201191471b1e7f1c631028d78a85	PASS
N-O001-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-03	55	35b4149e1e1b4a80b91b3f136d6024b6789f438e23f1666314220fee176c598e	PASS
N-O001-04	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-04	56	45733d1970985f1ede219885291f3a17f33b413c9fc716c12f4b83be33770eb2	PASS
N-O001-05	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-05	56	75e3baccd384ead4b07a666facb3ca0eff4c1a21185b6e4c1bd32479b535568b	PASS
N-O001-06	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-06	57	4a832180df6d6ab2213609cb1ea29c1ecb04556225809fb663670d51bb17372a	PASS
N-O001-07	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-07	57	c25b06490440ddfba14bceb13b67d7c6b7028c656eeb9b301d51955290f0d5b9	PASS
N-O001-10	01_BOIS_Base_Core_v2.22_EN.pdf	n-o001-10	58	85a139d9d5ad456705c06fc427da1561bcf4b2a098302b9ecdcb917aea9f1211	PASS
N-O002-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-01	58	bd13729dfbc1fda17d100c03e2bda6a17850ce0b9b2305a48b71433112648a08	PASS
N-O002-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-02	59	3cec1fd99d4021d9ecdc6651450a7d93a0ad4f3c91dcceadf48c066af17a1911	PASS
N-O002-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-03	59	177b7374e2c5d3fcdbe32d075e6578364d4f2fa398c5764e3308d00c6b2dc334	PASS
N-O002-04	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-04	60	b5da96ea2adfe2ff66d07bd98dc7f284717197de34252b55157fc3600c458ef6	PASS
N-O002-05	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-05	60	d172cb8d043883b7a55bd7b71689b4fcce5838c8ebc805898cb268ac398f186a	PASS
N-O002-06	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-06	61	9ab693e1cc0289862e3826b94af27e7845e5d3da11eda8970445db214830f2d4	PASS
N-O002-07	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-07	61	bd0d59dbe033e4117ba04e24d6562d968962a31918089513a75d0879fb8754bd	PASS
N-O002-10	01_BOIS_Base_Core_v2.22_EN.pdf	n-o002-10	62	c6d0dc9a752531e2f245ae1450dc5bbf4d939fddce0b5ddbed1f0c31035fc133	PASS
N-O003-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-01	62	482a2e5b68fff86fff1b09f37f8a629e899808afd01c09a3f73ccd5bdfe6d6b0	PASS
N-O003-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-02	63	6687a8d69ec888b73cddb1549524870f3c4b3fa24b4090a1a876646cdf75010d	PASS
N-O003-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-03	63	c96237da105ff8addf4a7a20308fbea4317042b383d08d97e5c8ec8abe9bfa9b	PASS
N-O003-04	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-04	64	dbfee747297c6ff4ea12d103698285362955ffbebf6f0b77a953a7493335c975	PASS
N-O003-05	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-05	64	f7c439ce2974a3d3d8e96409014bc52cd442dd25de49ac9fd049a83561b839e0	PASS
N-O003-06	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-06	65	12884122bf4c20603c34f15b6c52b8f283ce92148da79d45d2d17834322de53e	PASS
N-O003-07	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-07	65	ad1dabd54d160c7b8c03075a88c720b76de7f14eb5b30963fd4a48d156997665	PASS
N-O003-10	01_BOIS_Base_Core_v2.22_EN.pdf	n-o003-10	66	7cf5f7df442ad9c3251308915bc6de9a0b8c667e249a7f837066a1b9d95ad2b2	PASS
N-O004-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-01	66	1c206b83114e0d5915bcde1fb59db8a59dd692379d3c397ba75a42ba42f31b16	PASS
N-O004-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-02	67	20362a0915e7c8d551699e34b762298de48fdcd96ec9c08567884d899d1da485	PASS
N-O004-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-03	67	8171ac5a63ac47f2440670b307423d0341bf93efa32811de6c19e5fa4299cfdd	PASS
N-O004-04	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-04	68	008aa27965e301c0b0e09920c9b89a79b4e05a619f4d567c466e8626cd41fd48	PASS
N-O004-05	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-05	68	eaa1985907a895034dfa9ec6cee5234ee68bcfaa0454b5e19b152967745c9080	PASS
N-O004-06	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-06	69	791cf5d09fce8287bb1d978d13558a8a51b472c6de84352b85d18239d8d272c3	PASS
N-O004-07	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-07	69	74fbe8da244bf37c5f865c83ff209011611c5afb51dc760a5b3054ed8ab68e6c	PASS
N-O004-10	01_BOIS_Base_Core_v2.22_EN.pdf	n-o004-10	70	2e72e510d516793519a9fe0fbaaee1b7555e3f81098914d0be36f7d02b429824	PASS
N-O005-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-01	70	b0208c62f79afb12ec539638cefcb65ab3c3a01158dab64ece59b3773ce9601f	PASS
N-O005-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-02	71	bbf1e33bfb2431698d2acf4bdf965a27b6c8643b1559cd14d64e3ac424f3cd89	PASS
N-O005-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-03	71	610acf9ba42fd77fd9f36f0b5dc7a953eed4cecfde1c41702960f24196b3c4b3	PASS
N-O005-04	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-04	72	8602647772261e57822e3bc8c5ba3e94f5bbe66e9bc85755301daf22d0ac9895	PASS
